Year,Actual,Logistic,Gompertz,Hybrid
2010,450,2651.19,0.00,414.00
2011,1400,4032.47,0.00,1289.59
2012,190,6131.39,0.00,250.98
2013,410,9318.19,0.00,471.99
2014,1000,14150.64,0.00,1079.58
2015,450,21464.66,0.00,706.15
2016,730,32502.87,0.00,1113.52
2017,920,49089.57,0.00,1542.63
2018,920,73852.29,0.35,1928.53
2019,680,110464.80,11.26,2289.50
2020,3100,163829.48,166.71,5333.14
2021,12000,240013.01,1359.55,14724.27
2022,48000,345610.03,6969.96,49395.69
2023,82000,486142.56,24891.43,84106.87
2024,99475,663376.52,67078.91,105912.38
2025,176817,872336.85,145173.68,177640.58
2026,-,1100000.00,264862.98,300149.59
2027,-,1327663.15,423050.42,450234.44
2028,-,1536623.48,609224.74,627018.02
2029,-,1713857.44,809334.77,818199.69
2030,-,1854389.97,1009703.35,1010470.68
2031,-,1959986.99,1199526.27,1192932.61
2032,-,2036170.52,1371754.82,1358628.26
2033,-,2089535.20,1522841.38,1504770.46
2034,-,2126147.71,1651943.65,1631889.13
2035,-,2150910.43,1760023.57,1741312.19
2036,-,2167497.13,1849071.12,1835388.52
2037,-,2178535.34,1921530.64,1915272.64
2038,-,2185849.36,1979923.36,1981855.25
2039,-,2190681.81,2026626.04,2035715.69
2040,-,2193868.61,2063759.87,2077707.73
