Year,Actual,Logistic,Gompertz,Hybrid
2010,450.0,1774.7767415285025,1.2944618557116208e-71,429.75
2011,1400.0,2781.927186282591,9.066576029935075e-53,1261.7560960882895
2012,190.0,4359.302899350723,1.586556347648114e-38,278.20781677538804
2013,410.0,6827.8449046981705,9.227680434013155e-28,389.7376809755385
2014,1000.0,10686.367722649335,1.2613343039835623e-19,921.6512747177366
2015,450.0,16706.16085538234,1.7770042084967816e-13,496.23708062951494
2016,730.0,26070.202636785933,7.886704148207075e-9,718.8564870134364
2017,920.0,40569.85670593908,2.5655419112975198e-5,927.2093328829899
2018,920.0,62863.35893853785,1.1579929810577675e-2,980.3532775496753
2019,680.0,96769.79348059269,1.1747734793264957,829.5177420173227
2020,3100.0,147495.97885732792,38.56949118734799,3016.430096038194
2021,12000.0,221545.64140616482,539.797749570456,11128.837905003891
2022,48000.0,325859.0629532616,3965.9709895037004,43603.260829704755
2023,82000.0,465661.5249515063,17903.905871701183,76886.75636035939
2024,99475.0,641018.5093768431,55934.85319824004,96746.97190976508
2025,176817.0,843573.6079652221,132310.69716582462,169268.21033031482
2026,,1056426.392034778,253624.91365035932,255749.09759924284
2027,,1258981.4906231568,414738.2546393138,397777.98177989427
2028,,1434338.4750484938,601445.1642755667,566757.5874927695
2029,,1574140.9370467383,796518.9572486728,746980.9630295702
2030,,1678454.358593835,984921.8967015494,924428.8689822969
