year,actual,logistic,gompertz,hybrid
2010,450,0,100,60
2011,1400,0,100,60
2012,190,0,100,60
2013,410,1,100,60
2014,1000,2,100,61
2015,450,6,100,63
2016,730,21,100,69
2017,920,71,100,88
2018,920,235,100,154
2019,680,775,100,370
2020,3100,2527,100,1071
2021,12000,7901,3434,5221
2022,48000,21990,34949,29765
2023,82000,47500,70294,61176
2024,99475,73010,86761,81261
2025,176817,87099,92439,90303
2026,0,92473,94221,93522
2027,0,94225,94765,94549
2028,0,94765,94929,94864
2029,0,94929,94979,94959
2030,0,94979,94994,94988
